audio_path,raw_asr,after_cleanup
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0012.wav, अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0013.wav, अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपक,अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपका अपक
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0014.wav, अप दिमार को पस्मस्ती माँ निन ती निन चीजो में लगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा �,अप दिमार को पस्मस्ती माँ निन ती निन चीजो में लगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा रगा �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0015.wav, अप इस बाप यह एक बाथ नहीं बताना चाँँगा तो हमारा हम आमरे एक मित्र थे उंगे पास यह पहले इस्कुटी चला गरती ती इस्कुटी ताप यह अपने देखा अगा पैप करके यह आप यह आप यह आप यह यह यह यह यह यह यह यह यह यह यह यह यह यह यह �,अप इस बाप यह 1 बाथ नहीं बताना चाँँगा तो हमारा हम आमरे 1 मित्र थे उंगे पास यह पहले इस्कुटी चला गरती ती इस्कुटी ताप यह अपने देखा अगा पैप करके यह आप यह आप यह आप यह यह यह यह यह यह यह यह यह यह यह यह यह यह यह �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0016.wav, अगर था ज़ोड़ी जी अती ती तो वो नकी सिष्टर की वागर ती तो वो नकी सिष्टर वो लोगे आइती तो एसा मोगा मिला विस्कुल का ता तो वो लेके आगा एई शायकल नी कहरागो ग़े तो आम भी साचने चल दीवो नी वो नी,अगर था ज़ोड़ी जी अती ती तो वो नकी सिष्टर की वागर ती तो वो नकी सिष्टर वो लोगे आइती तो एसा मोगा मिला विस्कुल का ता तो वो लेके आगा एई शायकल नी कहरागो ग़े तो आम भी साचने चल दीवो नी वो नी
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0017.wav, अम आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आ� आप आ� आ� आ� आ� आ� आ� �,अम आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आ� आप आ� आ� आ� आ� आ� आ� �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0018.wav, अगर बचादा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा ल�,अगर बचादा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा लगा ल�
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0019.wav, अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताए�,अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताएड थे अगर ताए�
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0020.wav, तो सावने ब्रेज्द्पल कडेतें,तो सावने ब्रेज्द्पल कडेतें
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0021.wav, अदी,अदी
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0023.wav, जीब ये बिल्खोल बिल्खोल जीब,जीब ये बिल्खोल बिल्खोल जीब
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0024.wav, अग जीँ,अग जीँ
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0027.wav, तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ,तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ तब आँशाँ
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0028.wav, अ,अ
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0029.wav, भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ,भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0030.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0031.wav, येंकों,येंकों
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0032.wav, ता,ता
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0033.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0034.wav, याखेई यी यी यी यी यी,याखेई यी यी यी यी यी
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0035.wav, भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ,भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0036.wav, अगा मिलकोल,अगा मिलकोल
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0037.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0038.wav, अआ अँ विछिए त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्री,अआ अँ विछिए त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्रीवाँ त्री
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0039.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0041.wav, अव,अव
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0042.wav, अप आप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �,अप आप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0043.wav, अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �,अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0044.wav, यी,यी
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0045.wav, जी बलको जी में तो फुरे तरीकच जी भेट्फी हो गई बो चीज तो गी वो निर्दोशी ते निर्दोशी शरालती जी नका नतीजा आच्चा न नहीं ता,जी बलको जी में तो फुरे तरीकच जी भेट्फी हो गई बो चीज तो गी वो निर्दोशी ते निर्दोशी शरालती जी नका नतीजा आच्चा न नहीं ता
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0046.wav, अँ,अँ
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0047.wav, बलकोल और गया उपने समची भी नहीं हुटती है,बलकोल और गया उपने समची भी नहीं हुटती है
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0048.wav, अपना समज़ी बोलाग ना समज़े तो ज़ो बच्चा है बोलाग ज़े जा रहेंगा आतो मेरे साथ याज़ा मेरे साथ बिए आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आ�,अपना समज़ी बोलाग ना समज़े तो ज़ो बच्चा है बोलाग ज़े जा रहेंगा आतो मेरे साथ याज़ा मेरे साथ बिए आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आपने आ�
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0049.wav, अपने लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग �,अपने लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग प्रद लग �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0050.wav, अगर तो आप नहीं तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो �,अगर तो आप नहीं तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो ग़ाँ तो �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0051.wav, अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0052.wav, अप तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो �,अप तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0053.wav, अगर दोड़ा बतु शवग अदा कि अब दायम हो नहीं है अब यह दिज़ि जल्टी हो तो ज़ोग तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो,अगर दोड़ा बतु शवग अदा कि अब दायम हो नहीं है अब यह दिज़ि जल्टी हो तो ज़ोग तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो तो वो
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0054.wav, अप आप ब़दा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा �,अप आप ब़दा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा बदा �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0055.wav," अप सब को एक अट्टा बुलाग, सरी किलाज को बाग बुलाग लिया गद्जूस ने पिक याजा वो सामने आजा बार आजाव अप सब को दर लगता है यह तब जरके मारे चो पोई जाते हैं कि अब आमार नाम ने दियाम फोदा गय तो क्या सचा मिल सकती है अप पतनी क्","अप सब को 1 अट्टा बुलाग, सरी किलाज को बाग बुलाग लिया गद्जूस ने पिक याजा वो सामने आजा बार आजाव अप सब को दर लगता है यह तब जरके मारे चो पोई जाते हैं कि अब आमार नाम ने दियाम फोदा गय तो क्या सचा मिल सकती है अप पतनी क्"
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0056.wav, अगर दोज ताना मेरा तो उसने अगर आना पड़गा उसको कि नहीं उसामने आगर आगर आगर दे कि आफ़े एसने मुझे खिलने हमें खिलने जाना था उसको खिलने का फन्ता तो,अगर दोज ताना मेरा तो उसने अगर आना पड़गा उसको कि नहीं उसामने आगर आगर आगर दे कि आफ़े एसने मुझे खिलने हमें खिलने जाना था उसको खिलने का फन्ता तो
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0057.wav, अपने गड़ी पहली बजादी तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो,अपने गड़ी पहली बजादी तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो तो
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0058.wav, अगर आगे आगे और एक मासुमची शरादत फीग तरीगे जाड़ा बड़ी इंशराद दीती विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विद,अगर आगे आगे और 1 मासुमची शरादत फीग तरीगे जाड़ा बड़ी इंशराद दीती विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विदि विद
