reference,prediction,wer,stratum
मोसासौरस अपने समय का सबसे बड़ा शिकारी था इसलिए उसे अन्य मोसासौरस के अलावा किसी का भय नहीं था,मोसा सौरस अपने समय का सबसे बड़ा सिकारी था इसलिए उसे अन्यों मोसा सौरस के अलावा किसी का भार नहीं था,0.3684210526315789,Medium (0.3 < WER ≤ 0.5)
यदि आप केवल शिपबोर्ड भ्रमण का उपयोग करके किनारे तक जाते हैं तो आपको एक अलग वीज़ा की आवश्यकता नहीं होगी 2009 तक,यदि आप केवल शिव बोर्ड प्रमण का उपयोँ करके किनारे तक जाते हैं तो आपको एक अलग वीजा की बवशकता नहीं होकी दो हजार नौ तक,0.43478260869565216,Medium (0.3 < WER ≤ 0.5)
तीसरी शताब्दी ईसा पूर्व में मिस्रियों द्वारा निर्मित ग्रेट पिरामिड मृत फिरौन का सम्मान करने के लिए निर्मित कई बड़ी पिरामिड संरचनाओं में से एक है,तीसरी सतावती इसा पुर्व में मिश्रियो द्भारा निर्मित ग्रेट पिरामीट मुरूत फिरौन का सम्मान करने के लिए निर्मित कई बड़ी पिरामीट संरचनाव में से एक है,0.34615384615384615,Medium (0.3 < WER ≤ 0.5)
उदाहरण के लिए नॉर्थ कैरोलिना के बेनेट स्कूल के हज़ारों स्टूडेंट्स हर साल राज्य की राजधानी की अपनी यात्रा के बारे में एक वेबसाइट डिज़ाइन करते हैं वेबसाइट हर साल फिर से तैयार की जाती है लेकिन कुछ पुराने वर्ज़न्स को स्क्रेपबुक के रूप में इस्तेमाल करने के लिए ऑनलाइन रखा जाता है,उधारण के लिए नॉर्थ कैरोलीना के बेनेट स्कूल के हजारों स्टूडेंट्स हर साल राज्जिक की राजानी की अपनी आत्रा के बारे में एक वैपसाइट डिजाइन करते हैं वैपसाइट हर साल फिर से तैयार की जाती है लेकिन कुछ पुराने वर्जन्स को स्क्रै,0.41509433962264153,Medium (0.3 < WER ≤ 0.5)
मध्य युग के अंत में पश्चिमी यूरोप ने अपनी शैली विकसित करना शुरू कर दिया धर्मयुद्ध के परिणामस्वरूप उस समय के सबसे बड़े विकास में से एक लोगों ने कपड़ों को बांधने के लिए बटन का उपयोग करना शुरू किया,मदयू के अंत में पस्टीमी रूप ने अपनी सेली विकसित करना शुरू कर दिया दर्म यूध के प्रेडाम शौरूप उस समय के सबसे बड़े विकास में से एक लोगों ने कपड़ों को बाहनने के लिए बटन का अपयोक सर शू कर शूरू किया,0.375,Medium (0.3 < WER ≤ 0.5)
हालांकि शेंगेन ज़ोन इस मामले में कुछ हद तक एक देश की तरह काम करता है,हालांकि शिंगें जॉन इस मामले में कुछ हद तक एक देश की तरह काम करता है,0.125,Low (0.1 < WER ≤ 0.3)
आपके हाथों की नमी बाहरी परतों के साथ क्रिया करेगी जो अजीब महसूस करेगी और एक तरह का आवरण बनाएगी,आपके हाथों की नमी बाहरी पड़तों के साथक्रिया करेगी जो अजी महसूस करेगी और एक तरह का आवरन बनाएगी,0.25,Low (0.1 < WER ≤ 0.3)
स्कैफ़ोल्डिंग सीखने की एक विधि नहीं है बल्कि ऐसे लोगों को मददगार होती है जो किसी नई चीज़ को सीख रहे हों जैसे नया कंप्यूटर प्रोग्राम चलना या एक नया प्रोजेक्ट शुरू करना,इसके अफोरेडिंग सीखने की एक विदि नहीं है वल्कि ऐसे लोगों को मददकार होती है जो किसी नई चीज को सीख रहे हो जैसे नया कंप्यूटर प्रोग्राम चलना या हा एक नया प्रोजेक्ट सुरू करना,0.2727272727272727,Low (0.1 < WER ≤ 0.3)
कुछ क्षेत्रों में पानी को एक मिनट के लिए उबालना काफी होता है अन्य क्षेत्रों में कई मिनट तक उबलाने की आवश्यकता होती है,कुछ शेत्रों में पानी को एक मिनट के लिए उबालना काफी होता है अन्य शेत्रों में कई मिनट तक उबालने की आवश्यकता होती है,0.125,Low (0.1 < WER ≤ 0.3)
बाली में इस एजेंडे के अन्य विषयों में दुनिया के बचे हुए जंगलों को बचाने और ऐसी तकनीकों का आदान प्रदान करना का विषय शामिल है जिससे कि विकासशील देशों को कम प्रदूषणकारी तरीकों से आगे बढ़ने में मदद मिले,भाली में इस एजेंडे के अन्य विष्यों में दुनियां के बचे हुए जंगलों को बचाने और ऐसी टिक्निको का आदान भरदान करने का विषय शामील है जिससे कि विकासजीर देशों को कम प्रदूशन कारी तरीकों से आगे बढ़ने में मदद मिले,0.25,Low (0.1 < WER ≤ 0.3)
हर कोई समाज से जुड़ा होता है और ट्रांसपोर्ट सिस्टम का उपयोग करता है लगभग सभी लोग ट्रांसपोर्ट सिस्टम के बारे में शिकायत करते हैं,हर कोई समाज से जुड़ा होता है और ट्रांसपोर्ट सिस्टम का उपयोग करता है लगभक सभी लोग ट्रांसपोर्ट सिस्टम के बारे में शिकायत करते हैं,0.04,Very Low (WER ≤ 0.1)
इस प्रकार जब पेंसिल आई तो यह कई लोगों के लिए एक अच्छी दोस्त थी,इस प्रकार जब पेंसिल आई तो यहाँ कई लोगों के लिए एक अच्छी दोस्त थी,0.06666666666666667,Very Low (WER ≤ 0.1)
ये जोड़े अपने बच्चे के लिए गोद लेने की योजना बनाने का विकल्प चुन सकते हैं,ये जोड़े अपने बच्चे के लिए गोद लेने की योजना बनाने का अविकल्क चुन सकते हैं,0.0625,Very Low (WER ≤ 0.1)
