word,classification,confidence,reason,layer,manual_verdict,manual_category
साड़,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — incomplete word, likely 'साड़ी' (saree) with dropped ending"
टेंपलेट,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — English 'template' transliterated"
ढ़ोल,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — should be 'ढोल' (drum); incorrect ढ़ (with nukta) is non-standard"
कमेंटस,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'कमेंट्स' (comments) — missing halant in cluster"
आरतियाँ,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — plural of 'आरती' (prayer ritual)"
रीमार,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — garbled word, possibly 'रिमार्क' (remark) with dropped letters"
फाइंस,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'फाइंड्स' (finds) or 'फाइनल' — unclear English transliteration"
नहु,correct,low,Short pure-Devanagari word (likely valid verb form or particle),short_word,incorrect,"Misspelling — likely ASR error for 'नहीं' (no)"
नाड़ाबेड,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — garbled compound, not a real word"
कमेस्टी,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'केमिस्ट्री' (chemistry) — vowel and consonant errors"
बैकबैंचर।,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — English 'back-bencher' transliterated (with attached punctuation)"
बरोड़ा,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — proper noun (city: Vadodara/Baroda)"
डिजीटल,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'डिजिटल' (digital) — extra ई matra"
टहलों,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — verb form 'टहलों' (take a walk, imperative plural)"
अंग्रेजन,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'अंग्रेजों' (the British) — wrong ending"
हतोड़ी,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — dialect/colloquial word for 'हथौड़ी' (small hammer)"
स्काईफाई,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — English 'sci-fi' transliterated"
रिस्टरों,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — unclear word, possibly garbled 'रजिस्टरों' (registers)"
करवाये,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — causative past form of 'करवाना' (to get done)"
परयोगताये,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'प्रतियोगिताएँ' (competitions) — severely garbled"
मूर्ती,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'मूर्ति' (idol/statue) — wrong ending vowel ती→ति"
टेवल्थ,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — garbled English word, possibly 'twelfth' or 'wealth'"
आ-अब,correct,low,Short pure-Devanagari word (likely valid verb form or particle),short_word,incorrect,"Misspelling — joined/broken words 'आ' and 'अब', wrong hyphenation"
हावभाव,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — compound word 'हाव-भाव' (gestures/expressions)"
अक्षा,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — proper noun (person's name, e.g., Aksha)"
कुलफी,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — variant spelling of 'कुल्फी' (Indian frozen dessert)"
इंपायर,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'एम्पायर' (empire) — wrong vowel at start"
ईवोलूसन,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'इवोल्यूशन' (evolution) — wrong transliteration"
लिची,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — 'लीची' variant spelling for the fruit 'lychee'"
दकाबा,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — garbled word, not a valid Hindi word"
भूखतना,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — garbled, possibly 'भूखा' (hungry) + 'रहना' merged incorrectly"
खाका,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — valid Hindi word 'खाका' (blueprint/sketch)"
कड़के,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — verb form 'कड़के' (thundered) from 'कड़कना'"
किप,correct,low,Short pure-Devanagari word (likely valid verb form or particle),short_word,correct,"Correct — English 'keep' transliterated (colloquial usage)"
झट,correct,low,Short pure-Devanagari word (likely valid verb form or particle),short_word,correct,"Correct — valid Hindi word meaning 'quickly/instantly' (झट से)"
आहत,correct,low,Short pure-Devanagari word (likely valid verb form or particle),short_word,correct,"Correct — valid Hindi word meaning 'hurt/wounded' (emotionally)"
खींचेगे,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'खींचेंगे' (will pull) — missing nasalization"
